g0,g1,g2,x0,x1,x2,x_0,x_1,x_2
0.466153,0.0913587,2.41154,0.449304,-0.115839,-0.840714 ,0.656556,-0.218583,-0.293007
0.351781,0.558306,-2.24717,0.159602,0.182532,0.765163 ,0.428559,0.668685,0.925659
0.0392006,0.513375,0.897098,0.31303,0.203288,0.517907 ,0.467453,0.350634,-0.431738
-0.268723,-0.304154,2.20943,0.0828964,-0.544937,0.188778 ,0.0508872,-0.769097,-0.482353
-0.200519,0.585904,1.6728,-0.268362,0.26702,2.58946 ,-0.371537,0.467874,-2.94056
-0.335973,-0.33334,-3.06883,-0.621979,-0.329525,0.257632 ,-0.726611,-0.363633,0.478813
-0.240832,0.0476138,-2.67951,-0.233502,-0.237605,-1.40827 ,-0.488982,-0.306843,-1.04493
-0.429129,0.459322,-2.57103,0.440539,0.0601958,-0.396307 ,0.6455,0.071056,-0.204008
0.581669,0.0767717,-2.69353,-0.142725,-0.257875,-1.89696 ,-0.20551,-0.409635,-1.40324
-0.133926,-0.500694,1.29189,0.676117,0.112246,3.0319 ,0.961101,0.114064,2.88242
-0.413321,0.293791,-2.39413,-0.513427,-0.503889,-1.64648 ,-0.710492,-0.733978,-2.09535
0.291151,-0.0187982,-2.73839,0.610261,0.213587,2.00836 ,0.660127,0.158171,1.88574
0.485131,0.27457,-1.96959,0.329787,-0.271457,-0.376833 ,0.589603,-0.0225347,-1.26042
-0.00517951,-0.403911,2.94679,-0.190093,0.445867,2.70698 ,-0.23504,0.667131,2.71807
0.598959,-0.279065,1.2804,0.255721,0.548784,-1.69337 ,0.35793,0.774348,-2.43907
0.270417,-0.170234,-0.451721,0.604745,0.0971958,-1.41381 ,0.723928,0.101542,-1.71261
0.169201,-0.531026,-0.800835,-0.240948,-0.09695,3.02802 ,-0.435459,-0.118927,-2.79162
-0.672397,-0.180296,0.284155,-0.185528,0.382449,2.52284 ,-0.604123,-0.0587269,-1.73436
0.497315,-0.189861,-0.776781,-0.672241,0.208455,1.01222 ,-0.860521,0.282111,1.42259
0.183422,-0.515257,-0.978892,0.644091,0.0286558,2.86789 ,0.75297,-0.00287795,2.6894
-0.658038,0.00734988,-2.30356,0.45397,0.150466,-0.277487 ,0.48339,0.297341,-0.863377
0.229771,-0.264778,-0.541469,-0.309195,-0.14941,2.63971 ,-0.469282,-0.244749,2.48217
-0.179003,-0.22734,2.41279,0.0495735,0.685001,2.72492 ,0.10647,0.894756,2.83945
0.426799,0.353272,-0.0912256,-0.465382,0.0721462,-1.96642 ,-0.687105,0.0500385,-1.60447
0.516952,-0.124215,-1.98881,-0.364815,0.0367773,-1.16499 ,-0.59799,0.139958,-1.24631
0.0386212,-0.545794,0.996324,0.306828,-0.0823288,-0.300137 ,0.527011,-0.151548,-0.325519
-0.563148,0.109881,1.26489,-0.10533,-0.380346,-1.20875 ,-0.200251,-0.63994,-1.29415
-0.557198,0.188642,-2.2072,0.550175,0.198601,2.61568 ,0.819506,0.297801,2.45122
-0.523102,0.0972738,1.34938,0.226262,0.564326,2.12402 ,0.248937,0.791188,2.04029
-0.128241,0.358482,-1.48178,0.115446,-0.417253,2.65449 ,0.188481,-0.687793,2.66984
0.0269871,0.0786366,-2.93577,-0.58741,0.239749,0.585777 ,-0.639263,0.305011,0.414325
0.577426,-0.292255,-1.12839,0.291373,0.617422,1.95072 ,0.404174,0.877555,2.06666
0.377884,-0.181881,-2.66397,0.258281,0.455682,-0.0889914 ,0.369194,0.595168,-0.315601
0.0968208,-0.655719,-2.28832,0.682339,-0.110192,-1.98887 ,0.76338,-0.119741,-2.00467
0.382003,0.414851,-1.73547,0.0263691,-0.354443,1.2346 ,0.0886274,-0.617813,1.58555
0.349766,0.257962,0.652632,-0.171895,0.512797,0.629827 ,-0.196355,0.732362,0.705446
-0.0414102,0.319668,1.06009,0.195539,-0.158897,2.82533 ,0.30702,-0.274549,2.85259
-0.0933841,-0.238119,2.41351,-0.168248,-0.474162,2.55069 ,-0.163511,-0.704314,2.99006
0.104346,0.250686,0.610428,-0.281037,-0.209212,-2.88354 ,-0.440624,-0.425485,-2.69866
0.230408,0.34013,-1.44165,0.2592,0.608585,1.46777 ,0.406049,0.756775,0.930143
-0.414872,-0.390486,1.42736,0.560625,0.174303,-0.836387 ,0.751816,0.223535,-0.911143
0.403679,-0.51282,-2.29531,-0.494542,-0.234632,-0.368529 ,-0.631758,-0.259064,-0.300545
-0.388755,0.265255,1.04466,-0.221947,0.675836,-0.332057 ,-0.329466,0.743178,-0.304769
0.0325756,-0.253841,-2.96004,0.164572,-0.0723179,2.62439 ,0.312502,-0.127665,2.62136
-0.247094,0.427608,-1.57489,0.588086,0.272679,-1.49985 ,0.665,0.315804,-1.40453
0.100243,-0.125421,2.90662,-0.0723132,-0.2105,2.43043 ,-0.341212,-0.395645,2.61801
-0.22663,-0.248495,-0.366629,-0.408156,0.398423,-1.34782 ,-0.312423,-0.13988,-0.606808
0.364759,0.399636,-1.54475,0.115291,0.523228,2.47188 ,0.337072,0.430282,2.16482
-0.521344,-0.0767297,-2.02273,0.410538,0.0631913,-1.10554 ,0.506896,0.146695,-0.96031
0.254398,-0.241729,-2.61642,-0.169353,0.421885,0.263915 ,-0.189307,0.554253,0.548666
-0.247998,-0.529841,-2.40392,0.142649,-0.0901993,0.362652 ,0.422948,-0.188227,0.386473
