g0,g1,g2,x0,x1,x2,x_0,x_1,x_2
0.317795,-0.151096,1.49159,0.0126552,-0.650506,1.60863 ,0.27597,-1.15886,2.64321
-0.350714,-0.10294,-0.565296,-0.717963,-0.0156862,-0.238887 ,-1.59784,-0.324983,0.391476
-0.0626856,0.417875,-2.09662,0.150905,-0.574162,2.80878 ,0.74816,-1.86484,2.81214
0.213581,-0.121076,1.59418,0.422241,0.33419,-2.07094 ,0.783396,0.501882,-2.19939
0.481214,-0.516878,2.95191,-0.614639,-0.0736781,0.511398 ,-1.22013,-0.38165,1.11595
0.149765,0.64082,-1.31767,-0.421007,-0.288111,-1.54842 ,-1.22763,-0.621453,-0.634012
0.223029,-0.0894463,-2.64861,0.682838,-0.153053,-2.01446 ,1.70367,-0.023649,-1.19395
0.554555,0.451524,1.76292,-0.41787,0.377142,0.10057 ,-0.834935,0.893613,0.536521
0.498335,-0.473929,2.05574,-0.236314,-0.276322,3.02693 ,-0.367385,-0.52554,-3.13225
-0.0114351,0.269498,-2.64046,0.230637,-0.41471,-0.897537 ,1.19597,-1.84921,-0.888987
-0.486843,-0.512297,2.95501,-0.361532,0.127443,0.646929 ,-0.57475,-1.18531,0.652448
-0.657988,-0.228952,-2.5294,-0.0569417,-0.541148,-2.25482 ,0.0742711,-2.00053,-2.25239
0.068534,-0.482332,0.62223,0.0147719,-0.572521,1.36912 ,0.404902,-1.4805,1.88486
-0.0113715,0.691519,2.85746,0.333732,-0.274347,1.47069 ,1.47368,-0.852844,1.27316
0.626259,-0.146368,-0.622241,-0.235634,-0.258035,0.443658 ,-0.370379,-0.505763,0.538487
0.239861,0.152432,1.36488,0.502715,0.0241142,0.596242 ,1.55136,-0.126423,0.567524
-0.710745,-0.0225917,-2.03103,-0.457134,0.156312,0.79776 ,-0.965,-0.144987,0.279613
0.667759,0.18747,-0.918144,0.488571,-0.373986,2.15062 ,2.00099,-1.85909,2.45695
0.475844,0.284432,-2.0142,-0.441636,-0.377053,1.04146 ,-1.14605,-0.928813,-0.601765
-0.526357,-0.0931721,-1.11442,-0.459137,-0.379109,-2.12164 ,-1.24706,-0.875053,2.62649
-0.629081,0.038378,1.59902,0.394323,0.301179,-0.305182 ,0.733836,0.443107,-0.272673
-0.467488,0.251289,0.728382,0.697045,0.126562,-1.93432 ,1.73724,0.301135,-1.88571
-0.199284,0.453482,1.59558,0.638086,-0.172701,-2.76281 ,1.53648,-0.164366,-2.94352
-0.0718388,-0.652084,-1.73436,0.29568,-0.343422,0.378949 ,0.477591,-0.539297,0.836874
-0.305699,-0.185819,0.478999,0.343262,0.119837,0.766996 ,0.907206,0.417256,0.586267
-0.606637,-0.38745,-2.48374,-0.345271,0.113442,0.247224 ,-1.17659,-1.34171,0.241966
0.308464,-0.116907,0.477245,-0.528332,-0.433039,0.0564669 ,-1.10423,-1.23348,-0.124933
0.0121188,-0.38346,1.2853,0.171105,-0.671872,2.45995 ,0.31861,-1.99017,2.45988
0.17492,-0.189231,-1.52733,0.0455262,0.409961,-0.320974 ,0.267136,0.813543,-0.317894
