g0,g1,g2,x0,x1,x2,x_0,x_1,x_2
0.575812,-0.132866,3.08967,0.0117627,0.648258,-0.151688 ,0.159986,0.814071,-1.18272
-0.252351,0.246504,-0.848791,0.215937,0.0471949,-0.681117 ,0.473685,0.100001,-0.712587
0.368626,0.0719058,1.09663,0.00798485,-0.66994,-0.411261 ,0.0746677,-0.915257,-0.225735
0.438997,-0.0269687,-0.117185,-0.534238,-0.415656,1.21078 ,-0.733678,-0.639452,1.16513
0.609003,-0.30284,-0.578854,-0.232912,0.481292,0.35592 ,-0.299353,0.749941,0.658357
-0.0495506,-0.590601,-2.29423,-0.436552,-0.0919309,-1.74628 ,-0.608311,-0.164766,-1.26381
0.628192,-0.0307976,-0.111093,0.214895,0.289968,0.496733 ,0.641853,-0.0149223,0.699629
-0.317244,-0.553333,1.03618,0.611642,0.0429517,-2.02374 ,0.877352,-0.000941718,-2.33137
-0.0467863,-0.223211,2.36775,-0.18588,-0.543504,-0.889124 ,-0.277775,-0.818158,-0.237391
0.0998125,0.51328,-3.07629,0.417456,-0.372511,-2.55963 ,0.741822,-0.6485,-2.44261
-0.373307,-0.262896,-2.63178,-0.704029,-0.1481,-3.06328 ,-0.898661,-0.285916,-2.31529
0.191632,0.531995,-1.04958,0.449276,-0.374797,-1.90947 ,0.762899,-0.476734,-1.23248
0.475438,0.212967,3.07385,-0.445311,0.391165,-1.47868 ,-0.674066,0.605738,-1.94963
-0.307283,-0.228184,-2.48016,-0.288561,-0.343133,3.13685 ,-0.449471,-0.546232,3.12974
-0.179382,-0.126811,1.39598,0.570344,0.0396353,-1.52293 ,0.910274,0.0133989,-1.98733
-0.418854,0.0228594,3.09094,0.346742,-0.514348,0.531589 ,0.412408,-0.815169,-0.914411
-0.135133,0.306036,2.20009,0.648776,-0.266232,-0.625377 ,0.986982,-0.333814,-0.00599777
0.0075268,-0.418391,1.61629,0.260152,0.391243,1.52915 ,0.482661,0.656823,0.448059
-0.484244,-0.369921,0.0892435,0.517977,0.470306,1.7547 ,0.675267,0.679801,2.09454
-0.257423,0.297638,-1.69265,0.425001,-0.492918,2.58866 ,0.603341,-0.813787,1.56658
-0.399379,-0.307916,0.621262,-0.544814,0.409282,1.33444 ,-0.735354,0.492682,1.44693
0.35379,0.397992,-0.756059,0.14775,0.358207,1.95026 ,0.36438,0.387243,1.45866
0.202128,0.215545,-1.02057,0.639467,0.0420268,-1.85935 ,0.903776,0.138794,-1.83118
-0.0897067,-0.477175,-0.263279,0.61956,0.34407,0.0251054 ,0.920319,0.460721,0.023253
-0.218785,0.649854,-1.97905,0.058285,-0.215179,0.62447 ,0.164237,-0.540648,0.29078
-0.0107914,0.54826,2.91062,0.315974,0.384963,-1.07423 ,0.313274,0.657273,-1.73422
0.61614,-0.122784,0.600774,-0.0651139,-0.25609,0.734691 ,-0.0746281,-0.473437,0.397937
-0.389461,-0.290598,-1.23808,0.384483,-0.200638,-1.14197 ,0.598703,-0.378512,-1.40976
0.455306,-0.241777,-1.03026,0.437176,0.26073,1.77736 ,0.466693,-0.23292,1.64867
-0.105983,-0.657284,-1.29288,-0.236675,0.250613,0.299856 ,-0.426045,0.397699,1.42686
-0.073184,-0.440793,2.94948,-0.340594,0.445685,-1.47429 ,-0.563915,0.706424,-1.31859
